+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                            ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                        ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; irq_mapper                                                                                                                                                                                       ; 2     ; 32             ; 2            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_mux_001|arb|adder                                                                                                                                                                       ; 20    ; 10             ; 0            ; 10             ; 10     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_mux_001|arb                                                                                                                                                                             ; 9     ; 0              ; 4            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_mux_001                                                                                                                                                                                 ; 388   ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_mux|arb|adder                                                                                                                                                                           ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_mux|arb                                                                                                                                                                                 ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_mux                                                                                                                                                                                     ; 157   ; 0              ; 0            ; 0              ; 79     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_demux_004                                                                                                                                                                               ; 80    ; 1              ; 2            ; 1              ; 78     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_demux_003                                                                                                                                                                               ; 80    ; 1              ; 2            ; 1              ; 78     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_demux_002                                                                                                                                                                               ; 80    ; 1              ; 2            ; 1              ; 78     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_demux_001                                                                                                                                                                               ; 81    ; 4              ; 2            ; 4              ; 155    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rsp_xbar_demux                                                                                                                                                                                   ; 81    ; 4              ; 2            ; 4              ; 155    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cmd_xbar_mux_001|arb|adder                                                                                                                                                                       ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cmd_xbar_mux_001|arb                                                                                                                                                                             ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cmd_xbar_mux_001                                                                                                                                                                                 ; 157   ; 0              ; 0            ; 0              ; 79     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cmd_xbar_mux|arb|adder                                                                                                                                                                           ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cmd_xbar_mux|arb                                                                                                                                                                                 ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cmd_xbar_mux                                                                                                                                                                                     ; 157   ; 0              ; 0            ; 0              ; 79     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cmd_xbar_demux_001                                                                                                                                                                               ; 84    ; 25             ; 2            ; 25             ; 386    ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; cmd_xbar_demux                                                                                                                                                                                   ; 81    ; 4              ; 2            ; 4              ; 155    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rst_controller_001|alt_rst_sync_uq1                                                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rst_controller_001                                                                                                                                                                               ; 17    ; 14             ; 0            ; 14             ; 1      ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rst_controller|alt_rst_sync_uq1                                                                                                                                                                  ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rst_controller                                                                                                                                                                                   ; 17    ; 15             ; 0            ; 15             ; 1      ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router_004|the_default_decode                                                                                                                                                                 ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router_004                                                                                                                                                                                    ; 75    ; 0              ; 2            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router_003|the_default_decode                                                                                                                                                                 ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router_003                                                                                                                                                                                    ; 75    ; 0              ; 2            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router_002|the_default_decode                                                                                                                                                                 ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router_002                                                                                                                                                                                    ; 75    ; 0              ; 2            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router_001|the_default_decode                                                                                                                                                                 ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router_001                                                                                                                                                                                    ; 75    ; 0              ; 2            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router|the_default_decode                                                                                                                                                                     ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; id_router                                                                                                                                                                                        ; 75    ; 0              ; 2            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; addr_router_001|the_default_decode                                                                                                                                                               ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; addr_router_001                                                                                                                                                                                  ; 75    ; 0              ; 5            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; addr_router|the_default_decode                                                                                                                                                                   ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; addr_router                                                                                                                                                                                      ; 75    ; 0              ; 5            ; 0              ; 78     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                ; 115   ; 39             ; 0            ; 39             ; 74     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                            ; 27    ; 1              ; 0            ; 1              ; 25     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0_jtag_debug_module_translator_avalon_universal_slave_0_agent                                                                                                                         ; 222   ; 32             ; 38           ; 32             ; 238    ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                           ; 115   ; 39             ; 0            ; 39             ; 74     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                       ; 27    ; 1              ; 0            ; 1              ; 25     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; onchip_memory2_0_s1_translator_avalon_universal_slave_0_agent                                                                                                                                    ; 222   ; 32             ; 38           ; 32             ; 238    ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                 ; 115   ; 39             ; 0            ; 39             ; 74     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                             ; 27    ; 1              ; 0            ; 1              ; 25     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent                                                                                                                          ; 222   ; 32             ; 38           ; 32             ; 238    ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0_instruction_master_translator_avalon_universal_master_0_agent                                                                                                                       ; 137   ; 16             ; 48           ; 16             ; 107    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pio_1_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                      ; 115   ; 39             ; 0            ; 39             ; 74     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pio_1_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                  ; 27    ; 1              ; 0            ; 1              ; 25     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pio_1_s1_translator_avalon_universal_slave_0_agent                                                                                                                                               ; 222   ; 32             ; 38           ; 32             ; 238    ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0_data_master_translator_avalon_universal_master_0_agent                                                                                                                              ; 137   ; 16             ; 48           ; 16             ; 107    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pio_0_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                      ; 115   ; 39             ; 0            ; 39             ; 74     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pio_0_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                  ; 27    ; 1              ; 0            ; 1              ; 25     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pio_0_s1_translator_avalon_universal_slave_0_agent                                                                                                                                               ; 222   ; 32             ; 38           ; 32             ; 238    ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pio_1_s1_translator                                                                                                                                                                              ; 94    ; 3              ; 15           ; 3              ; 70     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; jtag_uart_0_avalon_jtag_slave_translator                                                                                                                                                         ; 94    ; 2              ; 16           ; 2              ; 70     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pio_0_s1_translator                                                                                                                                                                              ; 94    ; 3              ; 15           ; 3              ; 36     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; onchip_memory2_0_s1_translator                                                                                                                                                                   ; 94    ; 4              ; 4            ; 4              ; 83     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0_jtag_debug_module_translator                                                                                                                                                        ; 94    ; 3              ; 5            ; 3              ; 83     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0_data_master_translator                                                                                                                                                              ; 95    ; 9              ; 0            ; 9              ; 90     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0_instruction_master_translator                                                                                                                                                       ; 95    ; 48             ; 0            ; 48             ; 90     ; 48              ; 48            ; 48              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_jtag_debug_module_wrapper|the_QS_beforedelete_nios2_qsys_0_jtag_debug_module_sysclk                     ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_jtag_debug_module_wrapper|the_QS_beforedelete_nios2_qsys_0_jtag_debug_module_tck                        ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_jtag_debug_module_wrapper                                                                               ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_im|QS_beforedelete_nios2_qsys_0_traceram_lpm_dram_bdp_component|the_altsyncram|auto_generated ; 92    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_im|QS_beforedelete_nios2_qsys_0_traceram_lpm_dram_bdp_component                               ; 92    ; 2              ; 0            ; 2              ; 72     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_im                                                                                            ; 97    ; 36             ; 17           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_pib                                                                                           ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_fifo|the_QS_beforedelete_nios2_qsys_0_oci_test_bench                                          ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_fifo|QS_beforedelete_nios2_qsys_0_nios2_oci_fifocount_inc_fifocount                           ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_fifo|QS_beforedelete_nios2_qsys_0_nios2_oci_fifowp_inc_fifowp                                 ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_fifo|QS_beforedelete_nios2_qsys_0_nios2_oci_compute_tm_count_tm_count                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_fifo                                                                                          ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_dtrace|QS_beforedelete_nios2_qsys_0_nios2_oci_trc_ctrl_td_mode                                ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_dtrace                                                                                        ; 99    ; 0              ; 88           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_itrace                                                                                        ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_dbrk                                                                                          ; 84    ; 0              ; 0            ; 0              ; 88     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_xbrk                                                                                          ; 50    ; 5              ; 47           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_oci_break                                                                                         ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_avalon_reg                                                                                        ; 49    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios2_qsys_0|the_QS_beforedelete_nios2_qsys_0_nios2_oci|the_QS_beforedelete_nios2_qsys_0_nios2_ocimem|QS_beforedelete_nios2_qsys_0_ociram_lpm_dram_bdp_component|the_altsyncram|auto_generated   ; 90    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
